get away	clean
scared	out of [NX’s] wits
scared	stiff
scared	vulg shitless
scary	as hell
sceptical	somewhat
school	hard
scoundrel	unmitigated
scream	at the top of Aposs-X lungs
scream	blood-curdling
scream	piercing
scream	wild
scream	X's head off
screw	royally
scrutiny	close
scrutiny	intense
search	frantic
search	frantically
search	high and low
search	meticulous
secret	best-kept
security	heavy
security	high
security	maximum
security	tense
security	tight
selection	vast
sell	like hot cakes
sense	marked
sentence	harsh
serious	dead
serious	extremely
servile	cringingly
setback	crushing
setback	huge
setback	stunning
settled	densely
settled	thickly
shake	to the bone
shake	to the core
shaken	deeply
shame	crying
shame	deep
share	lion’s
sharp	razor
sharp	as a blade
sharp	as a tack
shave	close
shelling	heavy
shit	integral
shock	great
shocked	to the core
shocking	deeply
shoot	fatally
shooting	fatal
short	badly
short	desperately
shortage	acute
shot	to pieces
shout	at the top of [NX’s] lungs
shout	at the top of [NX’s] voice
show	clearly
show	vividly
shower	heavy
shrink	sharply
sick	as a dog
sick	as a parrot
sick	as hell
sick	to the soul
sick	to [A(poss)(NX) stomach]
sick	to death
sigh	big
sigh	deep
sigh	heavy
sigh	huge
sigh	immense
sigh	tremendous
sigh	X's heart out
sign	tangible
significance	special
significance	vital
silence	of the tomb
silence	icy
silence	pin-drop
silence	stony
silent	as the grave
silly	as a goose
similarity	deep
similarity	deep-seated
similarity	great
similarity	profound
similarity	striking
similarity	substantial
simple	brain-dead
simplification	gross
sin	deadly
sink	like a brick
size	big
size	large
skepticism	deep
skills	considerable
skinny	as a rail
skinny	emaciated
skinny	scrawny
sleep	deep
sleep	deeply
sleep	heavily
sleep	heavy
sleep	like a log
sleep	like a top
sleep	tight
sleeper	heavy
slippery	as an eel
slogan	snappy
slow	 as molasses in January
slow	as a snail
slow	as a dead snail
sly	as a fox
small	exceedingly
smell	overpowering
smell	pungent
smell	strong
smile	big
smile	broad
smile	broadly
smile	wide
smoke	heavy
smoke	light
smoke	like a chimney
smoke	thick
smoker	chain
smoker	heavy
smooth	as a baby’s bottom
smooth	as glass
smooth	as silk
snore	uproariously
snoring	loud
snoring	thunderous
snow	deep
snow	hard
snow	heavy
snug	as a bug (in a rug)
soak	to the skin
sob	bitterly
sober	as a judge
soft	as silk
solid	rock
sorrow	deep
sorrow	profound
sorry	awfully
sorry	deeply
sorry	terribly
sound	as a bell
sound	loud
source	major
speculation	purest
speed	breathtaking
speed	high
speed	lightning
spoiled	rotten
spotlight	harsh
spread	like wildfire
spry	as a cat
squeak	shrilly
stake	high
staked	heavily
stand	shoulder to shoulder
stand	firmly
stand	foursquare
stand	foursquare
stand	foursquarely
stand	strong
standard	high
standard	strict
start	from scratch
stench	mephitic
step	strong
step	substantial
stink	to high heaven
stop	cold
stop	dead
stop	dead in [NY’s] tracks
stop	in [NY’s] tracks
stop	short
storm	driving
storm	severe
storm	strong
storm	violent
story	engrossing
straight	die
straight	as a die
straight	as an arrow
stranger	perfect
stretch	thin
stride	enormous
stroke	massive
strong	as a horse
struggle	bitter
struggle	hard
study	detailed
study	extensively
stupid	as a goose
stupidity	enormous
success	key
success	great
success	great
success	huge
success	out-and-out
success	overwhelming
success	phenomenal
success	resounding
success	roaring
success	rocking
success	runaway
success	smash
success	smashing
success	stunning
success	thundering
success	tremendous
success	unalloyed
suffering	extreme
suffering	severe
suggest	strongly
suit	fine
suit	ideally
suited	eminently
suited	ideally
sum	hefty
sum	large
sum	substantial
sum	vast
sun	strong
sunshine	sparkling
support	complete
support	considerable
support	firm
support	firmly
support	full
support	overwhelming
support	strong
support	strongly
support	unqualified
support	unshakable
supporter	diehard
supportive	highly
sure	absolutely
sure	as anything
sure	as God made little apples
sure	as heck
sure	as you’re alive
sure	as you’re born
sure	quite
surpass	greatly
surprise	a great deal
surprise	complete
surprise	great
surprise	great
surprise	of [Aposs-X] life
surprise	total
surprised	profoundly
surrender	unconditional
surveillance	intense
survey	broad
suspect	highly
suspect	prime
suspect	strongly
suspicion	deep
suspicion	shrewd
suspicion	strong
swear	like a bargee
swear	like a trooper
sweat	buckets
sweet	as honey
sweet	as sugar
swing	sharp
sympathy	great
sympathy	strong
take issue	serious
tarnish	severely
task	arduous
task	difficult
task	formidable
task	hard
task	herculean
task	ominous
task	onerous
taskmaster	hard
taskmaster	stern
taskmaster	tough
taste	good
taste	immaculate
taste	strong
tax	hefty
tea	strong
tear	to pieces
temperature	high
temperature	high
temptation	strong
tend	strongly
tendency	clear
tendency	strong
tension	accute
tension	high
tension	hightened
term	heavy
terror	black
test	great
test	serious
testimony	solid
thank	from the bottom of NX’s heart
thank	profusely
thank	so much
thank	very much
thank you	so much
thank you	very much
thanks	a lot
thanks	awfully
thanks	plenty
thick	as flies
thick	as thieves
thief	arrant
thin	razor
thin	as a rail
thin	as a rake
thirst	acute
thirst	scorching
thirst	unquenchable
threat	advanced
threat	big
threat	blood-curdling
threat	grave
threat	major
threat	mortal
threat	outright
threat	severe
threat	strident
threat	violent
threaten	gravely
threatening	life
throw	to four winds
thunderstorm	severe
tied	closely
ties	close
ties	strong
tight	as a drum
tight	as an owl
tip	generous
tip	heavily
tired	bone
tired	dog
tired	completely
tired	extremely
tired	to the bone
tired	very
toll	devastating
toll	heavy
tone	strong
too	far
too	much
too	way
topic	hot
Tory	diehard
tough	as a ring post
tough	as leather
tough	as nails
trade	booming
tradition	ancient
tradition	deep-rooted
tradition	deep-seated
tradition	established
tradition	rich
traffic	bumper-to-bumper
traffic	bustling
traffic	congested
traffic	dense
traffic	heavy
tragedy	terrible
tragedy	unspeakable
transformation	deep
transformation	momentous
traveller	inveterate
treachery	rank
treasure	precious
treatment	thorough
tremble	like a leaf
trick	ingenuous
triumph	stunning
trouble	big
trouble	deep
trouble	great
trouble	serious
troubled	deeply
troubling	deeply
trust	deep
trust	fully
trust	impeccably
truth	the God’s
try	NX’s best
try	assiduously
try	hard
turn	abruptly
turn	sharp
turnabout	sharp
ugly	as a toad
ugly	as sin
unacceptable	totally
undermine	seriously
understand	fully
understatement	vast
unsuccessful	largely
untrue	flat out
upset	deeply
urge	strongly
use	actively
use	extensive
use	extensively
use	heavily
use	heavy
use	intensive
use	widely
utility	high
utilize	widely
value	deeply
vanish	into air
vanish	without a trace
variegated	highly
variety	staggering
variety	dazzling
variety	striking
variety	wide
vary	drastically
vary	greatly
velocity	high
vertical	plumb-bob
veteran	seasoned
victory	landslide
victory	big
victory	complete
victory	convincing
victory	crushing
victory	decisive
victory	dramatic
victory	great
victory	resounding
victory	stunning
victory	sweeping
victory	thumping
view	grave
views	strong
violate	flagrantly
violate	grossly
violation	blatant
violation	flagrant
violation	gross
violation	major
violation	severe
violation	stark
vomiting	severe
vote	overwhelmingly
want	badly
want	desperately
war	all-out
war	bloody
war	full scale
war	total
warn	strongly
warning	dire
warning	serious
warning	stern
warning	strong
watch	close
watch	closely
watch	intently
wave	slamming
wealth	vast
weapon	powerful
weep	bitterly
weight	great
weight	large
welcome	hearty
welcome	warm
welcome	warmly
welcome	with open arms
welded	tightly
well	full
wet	dripping
wet	soaking
wet	sopping
wet	through
wet	wringing
wet	to the bone
wet	to the skin
white	lily
white	snow
white	as lily
white	as snow
white	as chalk
white	as a sheet
will	firm
will	iron
will	of steel
win	convincing
win	in a landslide
wind	blusterous
wind	blustery
wind	brisk
wind	gusty
wind	heavy
wind	high
wind	powerful
wind	strong
winner	hand-down
winner	out-and-out
winter	cold
winter	harsh
winter	severe
wish	dearest
wish	fervent
wish	profoundly
wit	sparkling
witness	first-hand
witness	key
work	[NX’s] guts out
work	hand in glove
work	like a beaver
work	like a Trojan
work	like an ox
work	plug away
work	closely
work	hard
work	hard
work	tireless
work	tirelessly
work	unremitting
worried	deeply
worried	no end
worried	terribly
worring	extremely
wound	critical
wound	deep
wound	fatal
wound	gaping
wound	mortal
wound	open
wound	painful
wound	serious
wound	severe
wounded	badly
wounded	critically
wounded	fatally
wounded	mortally
wounded	seriously
wrong	dead
wrong	plain
wrong	terribly
